Topic Id,Top Words...
0,citr ca contact pm show cd 10 programming talk people 3 discorder vancouver community space radio rh mix indigenous released
1,7 30pm vancouver continues citr 9 _ 00pm lo centre theatre 12 pump 00 ihe east yale town lhat arts
2,don people band ve good lot thing bands discorder time record play man big ll things stuff didn guys year
3,shit hip don hop album man people yeah dj rap gonna back real ain lot time fuck elements gotta make
4,604 talk eclectic vancouver st cd discorder ofthe band www album pop indie citr ca uke 3 independent dance 30
5,music vancouver album sound radio records citr band art show artists world time musical work song live songs part years
6,music band songs people time rock 9 good 6 show album don 7 song lot pop play ve 12 8
7,00 00pm cd 00am alt vancouver 604 st www 98 10 hip 1 light hop 30 refinery ca blinding sugar
8,1 show rock 3 time 5 back band 2 canada local world life make canadian day great good shows young
9,vancouver 10 citr music discorder show st eclectic local radio alternating ca www pop host mix email released website arts
10,film october september culture people big work history book centre oct street sun mr films granville good kind life fact
11,7 vancouver 00 9 die lo ihe al band cd rock 30pm seattle bands il 00pm 30 1 cruel punk
12,1 604 ihe cd bc vancouver lhat ond 7 00 wilh lo starfish st 9 downtown room 00pm fax _
13,00 pm citr 30 discorder 9 music 4 8 vancouver 6 10 7 3 5 11 news 1 cable sunday
14,00pm cd www 00am 604 discorder _ ca hip ec news alt hop year 2003 richards yeah tk fill richard
